OFFSPRING_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,FATHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek,,MOTHER_ID,tag,year,sex,length,depth,death_fate,entry_date,death_date,locations,Creek
9684,ywt,2008,f,423,104,bk,46,47,"a mouth,a mouth,a,a",A,,3467,yxk,2004,m,409,117,,56,56,a,A,,3175,ypb,2004,f,411,98,bk,45,49,"a,a,a,a",A
9692,ywj,2008,m,438,164,,47,47,"a mouth,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9803,gjs,2008,m,418,113,bk,44,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9805,gjo,2008,f,473,131,,43,43,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9806,gjn,2008,f,418,103,flop,41,49,"c mouth,c,c,c,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9811,gjh,2008,f,421,102,bk,41,50,"c mouth,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,3141,ymj,2004,f,386,107,bk,44,48,"c,c,c,c",C
9812,gje,2008,f,409,98,bk,44,48,"c mouth,c,c,c,c,c",C,,3150,ymw,2004,m,400,113,,44,47,"c,c,c",C,,3159,yng,2004,f,392,100,bk,44,48,"c,c,c,c",C
9819,gka,2008,f,378,87,sen,45,55,"c mouth,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9820,gkd,2008,f,394,107,,54,54,"c mouth,c mouth,c",C,,,,,,,,,,,,,,2384,bcc,2004,f,490,148,,35,35,c,C
9823,gkk,2008,m,437,126,,55,55,"c mouth,c",C,,2707,wva,2004,m,417,125,,34,41,"c,c,c,c,c,c,c",C,,2121,yem,2004,f,427,109,sen,33,48,"c,c,c,c,c,c,c mouth,c,c,c,c mouth",C
9824,gkl,2008,f,453,121,,46,46,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9825,gkj,2008,f,385,95,bk,45,49,"c mouth,c,c,c,c",C,,2707,wva,2004,m,417,125,,34,41,"c,c,c,c,c,c,c",C,,2703,wtw,2004,f,453,111,sen,33,42,"c,c,c,c,c,c,c,c,c,c,c,c",C
9829,gkp,2008,f,425,112,,46,53,"c mouth,c mouth,c,c,c,c,c,c,c,c",C,,2602,wlv,2004,m,431,123,bk,33,36,"c,a",tie,,3165,ynn,2004,f,391,110,,44,47,"c,c,c",C
9830,gks,2008,f,392,100,bk,45,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c",C,,2704,wtx,2004,m,470,135,bk,33,48,"c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,3166,ynp,2004,f,411,103,bk,44,61,"c,c,c",C
9833,gkx,2008,f,405,101,bk,45,55,"c mouth,c,c,c,c",C,,,,,,,,,,,,,,3141,ymj,2004,f,386,107,bk,44,48,"c,c,c,c",C
9836,gkz,2008,f,442,121,,42,59,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9837,gla,2008,f,398,89,bk,43,50,"c mouth,c,c,c,c,c",C,,2625,wmy,2004,m,391,101,bk,33,48,"c,c mouth,c,c,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9839,glc,2008,f,394,101,sen,42,52,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c",C,,2708,wvb,2004,m,423,130,bk,34,43,"c,c,c,c,c,c,c,c,c",C,,2705,wty,2004,f,410,104,bk,34,42,"c,c,c,c,c,c",C
9840,gld,2008,f,485,126,,59,59,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9841,gle,2008,f,390,97,bk,49,55,"c mouth,c mouth,c,c,c,c,c,c,c",C,,3154,yna,2004,m,408,120,bk,44,48,"c,c,c",C,,2293,bhm,2004,f,398,110,,38,47,"c,c mouth,c,c,c",C
9842,glj,2008,f,394,100,sen,42,56,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c",C,,2205,bgl,2004,m,437,119,,37,47,"c,c mouth,c,c,c",C,,3152,ymy,2004,f,412,98,bk,44,49,"c,c",C
9843,glh,2008,f,393,104,sen,50,62,"c mouth,c,c,c,c,c,c,c,c,c",C,,2137,yhj,2004,m,416,110,,33,47,"c,c,c,c,c,c mouth",C,,3189,ypv,2004,f,416,107,bk,45,49,"c,c,c",C
9844,glk,2008,f,411,105,bk,40,63,"c,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2130,yez,2004,m,430,114,bk,33,44,"c,c,c,c,c,c,c mouth",C,,2418,bdw,2004,f,417,104,bk,33,53,"c,c,c,c,c,c,c,c,c,c,c,c",C
9846,glm,2008,f,406,105,,52,52,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9848,glo,2008,f,435,116,,49,49,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9850,gls,2008,f,415,101,sen,44,63,"c,c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2609,wmc,2004,m,388,117,bk,33,52,"c,c,c,c,c,c,c,c",C,,,,,,,,,,,,
9851,glt,2008,f,420,101,bk,47,49,"c mouth,c,c",C,,2677,wsm,2004,m,379,118,,33,34,"c,c",C,,2623,wmw,2004,f,407,105,bk,33,42,"c,c,c,c,c,c",C
9852,glv,2008,f,409,100,,47,48,"c mouth,a mouth,c,c",C,,2602,wlv,2004,m,431,123,bk,33,36,"c,a",tie,,2612,wmg,2004,f,399,99,bk,33,53,"c,c,c,c,c",C
9853,glw,2008,f,402,108,bk,45,48,"c mouth,c,c,c,c",C,,2602,wlv,2004,m,431,123,bk,33,36,"c,a",tie,,3165,ynn,2004,f,391,110,,44,47,"c,c,c",C
9857,gma,2008,f,405,106,sen,42,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2694,wtj,2004,m,435,124,sen,34,48,"c,c,c,c,c,c,c,c",C,,2670,wsd,2004,f,428,118,bk,33,52,"c,c,c,c",C
9858,gmb,2008,f,485,130,,49,49,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9861,gme,2008,f,413,111,bk,44,48,"c mouth,c,c,c,c,c",C,,2707,wva,2004,m,417,125,,34,41,"c,c,c,c,c,c,c",C,,2423,beb,2004,f,423,104,,36,50,"c,c,c,c,c,c,c",C
9863,gmj,2008,m,486,133,sen,42,51,"c mouth,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9865,gml,2008,f,391,100,bk,43,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2178,yjn,2004,m,440,132,bk,33,49,"c,c,c,c,c,c,c,c,c,c,c",C,,,,,,,,,,,,
9867,gmn,2008,f,404,97,bk,42,58,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2707,wva,2004,m,417,125,,34,41,"c,c,c,c,c,c,c",C,,2121,yem,2004,f,427,109,sen,33,48,"c,c,c,c,c,c,c mouth,c,c,c,c mouth",C
9868,gmo,2008,f,404,109,bk,45,49,"c mouth,c,c,c,c,c",C,,2625,wmy,2004,m,391,101,bk,33,48,"c,c mouth,c,c,c,c,c",C,,3145,ymn,2004,f,394,99,,44,44,c,C
9869,gmp,2008,f,410,100,bk,46,62,"c mouth,c,c,c,c,c,c,c,c,c,c,c",C,,2608,wmb,2004,m,432,125,sen,33,47,"c,c,c,c,c,c,c,c",C,,2418,bdw,2004,f,417,104,bk,33,53,"c,c,c,c,c,c,c,c,c,c,c,c",C
9871,gmt,2008,f,408,101,sen,41,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2412,bdm,2004,m,408,135,,35,45,"c,c,c,c,c,c,c,c,c,c",C,,3134,yma,2004,f,404,100,sen,44,49,"c,c,c",C
9872,gmv,2008,f,404,102,bk,45,49,"c mouth,c,c,c,c,c",C,,2625,wmy,2004,m,391,101,bk,33,48,"c,c mouth,c,c,c,c,c",C,,3147,yms,2004,f,397,107,bk,44,48,"c,c,c,c",C
9874,gmw,2008,f,409,104,sen,43,54,"c mouth,c,c,c,c,c,c,c,c,c,c",C,,2608,wmb,2004,m,432,125,sen,33,47,"c,c,c,c,c,c,c,c",C,,2284,bhb,2004,f,424,101,,38,39,"c,c",C
9878,gnb,2008,f,403,102,bk,43,55,"c mouth,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2704,wtx,2004,m,470,135,bk,33,48,"c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,3158,yne,2004,f,401,101,,44,47,"c,c,c",C
9879,gnc,2008,f,388,109,,47,47,"c mouth,c",C,,,,,,,,,,,,,,,,,,,,,,,,
9881,gne,2008,f,414,103,,42,53,"c mouth,c,c,c,c,c,c,c,c,c",C,,2609,wmc,2004,m,388,117,bk,33,52,"c,c,c,c,c,c,c,c",C,,3155,ynb,2004,f,424,113,,44,51,"c,c,c,c",C
9887,yzk,2008,f,396,100,sen,40,55,"a,a mouth,a,a,a,a,c,a,a,a,a beach",A,,2772,wze,2004,m,415,122,bk,35,36,"a,a",A,,3228,wat,2004,f,365,105,bk,47,55,"a,a,a,a",A
9888,yzj,2008,m,504,150,,40,48,"a,a,a,a,a,a,a,a",A,,,,,,,,,,,,,,3128,bst,2004,f,384,100,bk,44,48,"a,a,a",A
9889,yzh,2008,m,508,150,,40,48,"a,a,a,a,a,a,a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9890,yze,2008,f,479,124,bk,40,47,"a,a,a,a,a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9891,yzd,2008,m,476,142,,40,43,"a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9892,yzc,2008,m,445,128,sen,40,46,"a,a,a,a,a,a",A,,,,,,,,,,,,,,,,,,,,,,,,
9893,gnn,2008,f,387,100,,40,53,"c,c,c,c,c,c,c,c,c,c,c,c,c,c,c",C,,2715,wvj,2004,m,417,126,bk,33,41,"c,c,c,c,c,c,c,c",C,,2407,bdg,2004,f,441,120,bk,35,43,"c,c,c,c,c",C
